Tanggal;Tn;Tx;RR;ff_x
19/06/2022;;32,4;0,4;4
20/06/2022;22,6;32,7;;5
21/06/2022;20,9;32,2;0,6;6
22/06/2022;22,9;31,3;1,7;4
23/06/2022;;32,3;3;5
24/06/2022;22,4;31,2;;6
25/06/2022;21;31,8;15,5;3
26/06/2022;22;30,4;33,8;3
27/06/2022;22,5;32,1;0,6;6
28/06/2022;22,6;32,5;2,9;5
29/06/2022;20,2;32,7;28,6;3
30/06/2022;19,2;32,4;;4
01/07/2022;21,5;32;11;4
02/07/2022;22,3;33,2;;3
03/07/2022;22;31,7;19,4;5
04/07/2022;23,6;32;0,9;4
05/07/2022;21,8;34;;3
06/07/2022;23;28,5;;4
07/07/2022;22,3;32,8;13;4
08/07/2022;22,6;33,5;0,8;4
09/07/2022;20,4;32;0;3
10/07/2022;20,2;31,6;0;4
11/07/2022;20,4;32,2;;3
12/07/2022;22,6;32,2;;5
13/07/2022;22;31;44,4;3
14/07/2022;21,6;32,3;44,2;4
